name,m^3/ton,lb/capita,cal/ton,gal/ton,gal/calorie,gal/lb,group
chocolate,17196,8.6,4989518,4542701.712,0.910449007699742,2271.350856,fruit
almonds,16095,1.6,5261673,4251848.34,0.808079167975661,2125.92417,fruit
beef,15414,49.2,2267963,4071947.208,1.7954204755545,2035.973604,meat
olive oil,14431,1.98,7983228,3812266.132,0.477534417406092,1906.133066,vegetable
turkey,9371,12,1360776,2475555.812,1.81922359888769,1237.777906,meat
pork,5988,41.2,2177244,1581861.936,0.726543251927666,790.930968,meat
butter,5553,5.5,6531732,1466947.116,0.224587768757199,733.473558,meat
ice cream,5060,33.9,3628740,1336710.32,0.368367620716833,668.35516,meat
beans,5053,6.5,3175148,1334861.116,0.420409100930098,667.430558,vegetable
tilapia,4430,1.5,1179341,1170281.96,0.99231855756732,585.14098,meat
chicken,4325,56.4,2177244,1142543.9,0.524766126350561,571.27195,meat
shrimp,3500,3.8,907185,924602,1.01919895059993,462.301,meat
eggs,3265,34.3,1451496,862521.58,0.594229388162282,431.26079,meat
salmon,2980,2,1905089,787232.56,0.413226132742355,393.61628,meat
rice,2497,18,1179341,659637.484,0.559327186962889,329.818742,grain
avocados,1981,6.1,1451496,523324.732,0.360541628774726,261.662366,fruit
wheat flour,1849,118.5,3265870,488454.028,0.149563218376727,244.227014,grain
pasta,1849,19.4,1179341,488454.028,0.414175397955299,244.227014,grain
farmed fish,1629,5.4,1905089,430336.188,0.225887708133321,215.168094,meat
yogurt,1275,16.9,544311,336819.3,0.618799362864245,168.40965,meat
cheese,1272,12.2,1814370,336026.784,0.185203009309016,168.013392,meat
peaches,910,3.1,362874,240396.52,0.662479317889956,120.19826,fruit
apples,822,18.2,453593,217149.384,0.478731779370493,108.574692,fruit
milk,796,6.8,362874,210280.912,0.579487403341105,105.140456,meat
bananas,790,27.9,816467,208695.88,0.255608469172667,104.34794,fruit
peanuts,570,6.5,5170955,150578.04,0.0291199672014164,75.28902,fruit
oragnes,560,9.1,453593,147936.32,0.326143304680628,73.96816,fruit
strawberries,347,7.3,272156,91667.684,0.336820367730272,45.833842,fruit
spinach,292,1.26,181437,77138.224,0.425151562250258,38.569112,vegetable
potatoes,287,42,725748,75817.364,0.104467892436493,37.908682,vegetable
cabbage,280,5.34,181437,73968.16,0.407679580239973,36.98408,vegetable
pineapples,255,6.8,453593,67363.86,0.148511683381357,33.68193,fruit
lettuce,237,15,181437,62608.764,0.34507164470312,31.304382,vegetable
watermelon,235,12.1,272156,62080.42,0.228106012727994,31.04021,fruit
tomatoes,214,15.1,181437,56532.808,0.311583679183408,28.266404,vegetable